"req_id","department","job_title","level","city","state","opened_at","closed_at","days_open"
"R1000","Marketing","Marketing Analyst","Senior","San Francisco","Ca","2024-05-20","2024-06-30",41
"R1001","Customer Service","Call Center Agent","Entry","San Francisco","Ca","2024-01-17","2024-01-30",13
"R1002","Customer Service","Call Center Agent","Entry","New York","Ny","2024-04-22","2024-06-28",67
"R1003","Engineering","Software Engineer","Entry","New York","Ny","2024-06-21","2024-07-14",23
"R1004","Marketing","Content Manager","Entry","San Francisco","Ca","2024-08-23","2024-11-09",78
"R1005","Customer Service","Support Associate","Entry","Phoenix","Az","2024-02-05","2024-02-20",15
"R1006","HR","HR Coordinator","Entry","Phoenix","Az","2024-07-05","2024-08-04",30
"R1007","Customer Service","Service Lead","Mid","New York","Ny","2024-05-05","2024-06-04",30
"R1008","Engineering","Software Engineer","Entry","Dallas","Tx","2024-06-10","2024-08-10",61
"R1009","Operations","Warehouse Supervisor","Entry","San Francisco","Ca","2024-08-22","2024-09-19",28
"R1010","Customer Service","Call Center Agent","Entry","Phoenix","Az","2024-07-04","2024-08-11",38
"R1011","Engineering","QA Analyst","Mid","San Francisco","Ca","2024-08-04","2024-10-29",86
"R1012","Customer Service","Support Associate","Entry","Los Angeles","Ca","2024-02-28","2024-05-16",78
"R1013","Operations","Logistic Manager","Senior","San Francisco","Ca","2024-05-14","2024-07-27",74
"R1014","Engineering","Data Engineer","Mid","Phoenix","Az","2024-03-23","2024-06-10",79
"R1015","HR","Recruiter","Senior","Phoenix","Az","2024-01-30","2024-03-10",40
"R1016","Engineering","QA Analyst","Senior","Dallas","Tx","2024-08-31","2024-11-19",80
"R1017","HR","HR Coordinator","Entry","Phoenix","Az","2024-07-10","2024-09-14",66
"R1018","Marketing","Content Manager","Entry","Dallas","Tx","2024-04-27","2024-07-21",85
"R1019","Marketing","SEO Specialist","Senior","Dallas","Tx","2024-02-06","2024-04-21",75
"R1020","Customer Service","Service Lead","Entry","Phoenix","Az","2024-08-30","2024-10-10",41
"R1021","HR","HR Coordinator","Entry","New York","Ny","2024-07-29","2024-10-06",69
"R1022","Engineering","Software Engineer","Mid","New York","Ny","2024-04-07","2024-06-24",78
"R1023","Engineering","Software Engineer","Senior","Phoenix","Az","2024-08-14","2024-11-02",80
"R1024","Engineering","Data Engineer","Entry","Los Angeles","Ca","2024-09-05","2024-11-15",71
"R1025","Operations","Supply Chain Analyst","Entry","New York","Ny","2024-08-20","2024-10-05",46
"R1026","Marketing","Content Manager","Senior","San Francisco","Ca","2024-02-01","2024-03-22",50
"R1027","Marketing","Content Manager","Senior","Los Angeles","Ca","2024-02-11","2024-03-15",33
"R1028","Customer Service","Support Associate","Senior","New York","Ny","2024-01-21","2024-04-19",89
"R1029","HR","Recruiter","Mid","Phoenix","Az","2024-05-15","2024-07-14",60
"R1030","Operations","Warehouse Supervisor","Entry","Phoenix","Az","2024-02-21","2024-03-11",19
"R1031","HR","HR Coordinator","Senior","Phoenix","Az","2024-03-21","2024-05-26",66
"R1032","HR","Recruiter","Mid","New York","Ny","2024-02-24","2024-05-14",80
"R1033","HR","Talent Partner","Senior","New York","Ny","2024-09-07","2024-10-19",42
"R1034","Marketing","SEO Specialist","Senior","San Francisco","Ca","2024-03-07","2024-04-19",43
"R1035","Marketing","Marketing Analyst","Senior","Los Angeles","Ca","2024-03-17","2024-06-04",79
"R1036","Marketing","SEO Specialist","Senior","Phoenix","Az","2024-07-05","2024-07-20",15
"R1037","Customer Service","Call Center Agent","Mid","Dallas","Tx","2024-03-20","2024-04-29",40
"R1038","Operations","Warehouse Supervisor","Mid","Los Angeles","Ca","2024-05-07","2024-06-20",44
"R1039","Engineering","Data Engineer","Entry","Los Angeles","Ca","2024-06-28","2024-08-16",49
"R1040","HR","Recruiter","Entry","New York","Ny","2024-05-22","2024-07-15",54
