"interview_id","candidate_id","req_id","interview_date","interview_type","interviewer_role","skill_focus","interview_score","recommendation"
"I3000","C4039","R1147","2024-02-27","Video Call","Ops Director","Leadership","2.7","Hire"
"I3001","C3683","R1101","2024-05-29","Video Call","Engineering Lead","Problem Solving","3","Strong Hire"
"I3002","C4393","R1126","2024-01-06","In Person","Engineering Lead","Personality","4.5","Hire"
"I3003","C3338","R1121","2024-07-23","Phone","Recruiter","Leadership","4.9","Strong Hire"
"I3004","C3187","R1076","2024-01-01","In Person","Recruiter","Personality","3.4","Strong Hire"
"I3005","C4278","R1017","2024-05-14","In Person","Recruiter","Leadership","4.2","Hire"
"I3006","C2434","R1084","2024-01-07","In Person","Marketing Manager","Technical Skills","4.8","Neutral"
"I3007","C2193","R1035","2024-10-30","Phone","Recruiter","Teamwork","4.4","Neutral"
"I3008","C4443","R1064","2024-08-12","Video Call","Recruiter","Leadership","2.7","Neutral"
"I3009","C4217","R1136","2024-11-30","In Person","Marketing Manager","Problem Solving","3.8","Neutral"
"I3010","C2484","R1114","2024-07-09","In Person","HR Director","Teamwork","2.6","Hire"
"I3011","C4817","R1031","2024-11-03","Phone","HR Director","Personality","4.9","Neutral"
"I3012","C4438","R1132","2024-03-25","Phone","Marketing Manager","Teamwork","4.9","Neutral"
"I3013","C3232","R1105","2024-03-11","Phone","HR Director","Technical Skills","4.8","Neutral"
"I3014","C3291","R1054","2024-08-13","Video Call","HR Director","Technical Skills","3.3","Hire"
"I3015","C2120","R1117","2024-11-01","Video Call","Engineering Lead","Leadership","3.9","Neutral"
"I3016","C2912","R1125","2024-09-07","In Person","Engineering Lead","Technical Skills","3.8","Neutral"
"I3017","C2335","R1035","2024-05-07","Phone","Engineering Lead","Communication","2.9","Strong Hire"
"I3018","C3615","R1130","2024-09-10","Phone","Recruiter","Teamwork","3.1","Hire"
"I3019","C2643","R1024","2024-03-28","Video Call","Ops Director","Problem Solving","3.9","Neutral"
"I3020","C2741","R1108","2024-09-07","In Person","HR Director","Communication","2.8","Strong Hire"
"I3021","C3508","R1100","2024-06-06","In Person","Marketing Manager","Technical Skills","4.8","Strong Hire"
"I3022","C4454","R1099","2024-07-01","Phone","Marketing Manager","Personality","3.7","Neutral"
"I3023","C2578","R1046","2024-04-12","Video Call","Ops Director","Technical Skills","2.8","Neutral"
"I3024","C3064","R1125","2024-04-09","Video Call","Recruiter","Communication","3.8","Strong Hire"
"I3025","C2511","R1080","2024-08-06","In Person","Marketing Manager","Adaptability","4.2","Hire"
"I3026","C2153","R1036","2024-10-05","In Person","Ops Director","Adaptability","3.4","Hire"
"I3027","C3946","R1045","2024-03-03","Phone","Engineering Lead","Communication","4.2","Neutral"
"I3028","C3823","R1109","2024-09-19","In Person","Marketing Manager","Adaptability","4.8","Hire"
"I3029","C2204","R1003","2024-09-11","Phone","Engineering Lead","Teamwork","3","Neutral"
"I3030","C2358","R1087","2024-04-24","In Person","Marketing Manager","Communication","4","Strong Hire"
"I3031","C2859","R1000","2024-11-08","Video Call","Ops Director","Leadership","3.2","Neutral"
"I3032","C4406","R1079","2024-12-16","In Person","Recruiter","Technical Skills","3.7","Strong Hire"
"I3033","C4903","R1052","2024-03-28","Video Call","Recruiter","Problem Solving","4.2","Neutral"
"I3034","C4664","R1021","2024-10-14","Video Call","Engineering Lead","Problem Solving","4","Neutral"
"I3035","C3519","R1103","2024-04-01","Video Call","Ops Director","Adaptability","4.9","Strong Hire"
"I3036","C2587","R1094","2024-11-23","Phone","Ops Director","Teamwork","4.6","Neutral"
"I3037","C4492","R1117","2024-02-20","Video Call","Marketing Manager","Personality","4.8","Neutral"
"I3038","C3089","R1016","2024-04-03","Phone","Marketing Manager","Problem Solving","5","Strong Hire"
"I3039","C4974","R1134","2024-10-22","Phone","HR Director","Adaptability","4.6","Strong Hire"
"I3040","C3006","R1028","2024-02-23","In Person","Ops Director","Personality","3.9","Strong Hire"
"I3041","C3823","R1109","2024-07-10","Video Call","Engineering Lead","Communication","4.8","Hire"
"I3042","C2366","R1036","2024-04-09","In Person","Ops Director","Adaptability","4.9","Strong Hire"
"I3043","C2518","R1039","2024-05-07","In Person","Recruiter","Technical Skills","4.5","Strong Hire"
"I3044","C4181","R1025","2024-01-22","Phone","Engineering Lead","Teamwork","3.4","Hire"
"I3045","C4350","R1027","2024-03-10","Phone","Ops Director","Adaptability","2.6","Neutral"
"I3046","C3226","R1113","2024-07-13","Phone","HR Director","Technical Skills","4.8","Neutral"
"I3047","C3646","R1085","2024-04-17","Phone","Recruiter","Teamwork","3.8","Neutral"
"I3048","C3446","R1120","2024-07-06","Phone","Recruiter","Problem Solving","4.9","Neutral"
"I3049","C4592","R1067","2024-10-26","Video Call","HR Director","Teamwork","4.7","Neutral"
"I3050","C3996","R1075","2024-07-20","In Person","Engineering Lead","Adaptability","2.8","Neutral"
"I3051","C4780","R1008","2024-10-05","In Person","HR Director","Leadership","3","Strong Hire"
"I3052","C4435","R1083","2024-05-10","Video Call","Marketing Manager","Personality","3.2","Strong Hire"
"I3053","C3050","R1089","2024-06-20","Phone","Recruiter","Technical Skills","4.9","Neutral"
"I3054","C4193","R1137","2024-12-08","In Person","Marketing Manager","Technical Skills","4.9","Strong Hire"
